DOR Code,Municipality,Fiscal Year,Residential,Open Space,Commercial,Industrial,Personal Property
042,Bridgewater,2023,12.84,0.00,12.84,12.84,12.84
042,Bridgewater,2024,12.14,0.00,12.14,12.14,12.14
043,Brimfield,2023,15.21,0.00,15.21,15.21,15.21
043,Brimfield,2024,14.62,0.00,14.62,14.62,14.62
044,Brockton,2023,12.98,0.00,26.02,26.02,26.02
044,Brockton,2024,,,,,
045,Brookfield,2023,15.98,0.00,15.98,15.98,15.98
045,Brookfield,2024,15.20,0.00,15.20,15.20,15.20
046,Brookline,2023,9.97,0.00,16.70,16.70,16.70
046,Brookline,2024,9.77,0.00,16.41,16.41,16.41
047,Buckland,2023,16.94,0.00,16.94,16.94,16.94
047,Buckland,2024,17.56,0.00,17.56,17.56,17.56
048,Burlington,2023,9.40,0.00,26.15,26.15,26.15
048,Burlington,2024,8.94,0.00,25.81,25.81,25.81
049,Cambridge,2023,5.86,0.00,10.38,10.38,10.38
049,Cambridge,2024,5.92,0.00,10.46,10.46,10.46
050,Canton,2023,10.57,0.00,21.57,21.57,21.57
050,Canton,2024,9.97,0.00,20.80,20.80,20.80
051,Carlisle,2023,14.15,0.00,14.15,14.15,14.15
051,Carlisle,2024,13.33,0.00,13.33,13.33,13.33
052,Carver,2023,14.59,0.00,22.98,22.98,22.98
052,Carver,2024,14.17,0.00,22.53,22.53,22.53
053,Charlemont,2023,20.63,0.00,20.63,20.63,20.63
053,Charlemont,2024,,,,,
054,Charlton,2023,12.17,0.00,12.17,12.17,12.17
054,Charlton,2024,11.34,0.00,11.34,11.34,11.34
055,Chatham,2023,3.88,0.00,3.88,3.88,3.88
055,Chatham,2024,3.57,0.00,3.57,3.57,3.57
056,Chelmsford,2023,14.37,0.00,18.17,18.17,17.98
056,Chelmsford,2024,13.62,0.00,17.22,17.22,17.06
057,Chelsea,2023,12.38,0.00,24.88,24.88,24.88
057,Chelsea,2024,,,,,
058,Cheshire,2023,11.97,0.00,11.97,11.97,11.97
058,Cheshire,2024,11.57,0.00,11.57,11.57,11.57
059,Chester,2023,17.83,0.00,17.83,17.83,17.83
059,Chester,2024,17.08,0.00,17.08,17.08,17.08
060,Chesterfield,2023,15.92,0.00,15.92,15.92,15.92
060,Chesterfield,2024,14.97,0.00,14.97,14.97,14.97
061,Chicopee,2023,15.15,0.00,32.83,32.83,32.83
061,Chicopee,2024,14.76,0.00,31.78,31.78,31.78
062,Chilmark,2023,2.63,0.00,2.63,2.63,2.63
062,Chilmark,2024,,,,,
